"","k_kidDD","d_DD","maxdeath","hillDD","k_hillnec","d_CD","k_CDINF","d_INF","k_INFKF","hillKF","h1","INF0"
"3832",0.238746,0.0936085,13.3289,40.2114,4.39941,0.00734302,0.171812,0.00790171,0.0775926,14.3964,7.96594,1.60437e-05
"3833",0.127042,0.0403662,13.3169,40.5292,4.70475,0.0066843,0.320188,0.0169598,0.0400806,11.5643,8.90564,4.19648e-06
"3834",0.182406,0.0677394,13.7813,43.7045,4.36467,0.00797489,0.312005,0.0135347,0.0897804,14.5143,7.95888,1.04837e-05
"3835",0.243636,0.0982866,12.5275,37.2245,4.52603,0.00495381,0.246464,0.0106211,0.0488562,11.5404,7.97765,3.44826e-06
"3836",0.162212,0.0572451,13.0472,39.0445,4.27118,0.00540708,0.270002,0.0123965,0.0654145,16.1128,9.48148,1.19202e-06
"3837",0.128085,0.0419658,12.8144,40.2153,4.39069,0.00659833,0.240353,0.0164584,0.092232,14.1081,8.97824,2.30983e-06
"3838",0.249662,0.0951527,13.0647,39.9695,4.28429,0.0075478,0.263181,0.00974229,0.027411,11.0271,8.46584,1.9443e-05
"3839",0.13355,0.0436735,12.6035,42.5954,4.32199,0.00643363,0.312675,0.0157457,0.0689148,18.8978,9.23846,0.00044416
"3840",0.1299,0.0544384,13.1932,39.2787,3.99954,0.00676862,0.220551,0.0109652,0.0933118,12.7654,8.25521,0.000543295
"3841",0.162304,0.056567,12.7194,41.2591,4.71332,0.00401751,0.335073,0.0178405,0.0994317,15.0026,8.35927,0.000289273
"3842",0.158606,0.0549633,13.3829,39.8584,4.39255,0.00892128,0.252299,0.00962044,0.0390524,11.9818,8.89353,0.000511207
"3843",0.14619,0.059913,12.7734,45.2174,3.72744,0.00769808,0.173474,0.00896036,0.0357982,10.5935,8.32075,0.000155545
"3844",0.200357,0.0649959,12.9944,36.8725,4.88336,0.00398788,0.364343,0.0217209,0.0957879,15.8917,9.04225,0.00100399
"3845",0.164277,0.060136,12.7169,37.0555,4.83997,0.00391236,0.381176,0.0194568,0.140506,17.2416,8.12784,0.00065857
"3846",0.205267,0.0729285,12.8912,40.6898,4.66073,0.00454231,0.388311,0.0207047,0.115325,15.8253,8.36976,0.000497666
"3847",0.155288,0.055029,12.9349,42.8056,4.13276,0.00453553,0.232656,0.0139203,0.0522805,14.5981,9.28831,0.000827337
"3848",0.143624,0.0576093,12.8253,44.5866,3.84435,0.00591953,0.299034,0.015016,0.0582098,12.5446,8.49222,0.000335153
"3849",0.137506,0.0451028,12.6156,38.1018,4.46218,0.0101653,0.295179,0.0116592,0.0522538,11.6635,9.19438,0.000690232
"3850",0.10161,0.0412926,13.2903,35.1834,4.25342,0.0101579,0.234257,0.00951345,0.0517863,14.3391,8.007,0.000527321
"3851",0.206007,0.0868771,12.6027,41.8583,3.72975,0.00430659,0.310284,0.0109693,0.034422,13.3082,9.27366,0.00057028
"3852",0.215267,0.0956383,12.9906,42.352,3.56884,0.0026661,0.256445,0.0145553,0.113834,13.7366,9.52156,0.000664015
"3853",0.217388,0.0922399,13.0671,43.7718,3.50477,0.0028642,0.31008,0.0144247,0.0579859,14.9859,9.85726,0.000372973
"3854",0.17014,0.0683375,12.774,38.1027,5.1564,0.00757607,0.100352,0.00481324,0.0405005,10.0095,6.77657,0.00090002
"3855",0.324253,0.115556,12.4435,42.5163,4.2971,0.00358871,0.218716,0.0105354,0.0549067,12.1248,9.58902,0.000314258
"3856",0.176531,0.0746169,12.7704,39.7883,4.22672,0.00475103,0.251562,0.0129193,0.0507774,12.0123,7.8636,0.000794893
"3857",0.144984,0.0538918,13.5945,40.0065,4.07033,0.00600726,0.260495,0.0125576,0.03237,11.8574,9.06461,0.000607194
"3858",0.121944,0.0465931,13.0153,41.6091,3.7784,0.00815155,0.226383,0.0109523,0.0332951,11.7841,9.1046,0.000673587
"3859",0.203859,0.0739931,12.7343,39.1712,4.84361,0.00452921,0.190931,0.0101307,0.0302189,11.3693,8.05521,0.000499772
"3860",0.319947,0.120336,13.0251,38.3761,4.14622,0.00383305,0.177888,0.00983827,0.0351645,10.2189,9.37413,0.000466542
"3861",0.224851,0.0801382,12.7872,44.529,4.29517,0.00383012,0.309403,0.0140529,0.0372151,11.5479,9.06417,0.000219223
"3862",0.195229,0.0830727,13.3077,36.7905,4.06973,0.00471116,0.230768,0.0114546,0.064003,13.522,8.4442,0.0007725
"3863",0.153673,0.044218,12.3791,45.2169,4.47901,0.0103717,0.368502,0.0158826,0.0120193,9.0624,9.63959,0.000410986
"3864",0.127516,0.0444098,12.2783,39.2279,3.99226,0.00538872,0.194308,0.0127276,0.0275184,9.6846,9.91057,0.000719253
"3865",0.229074,0.0919632,12.5823,37.6474,4.0877,0.00467721,0.220249,0.0113891,0.0220091,10.3412,8.82752,0.000541394
"3866",0.206911,0.0675556,13.0521,43.8555,4.6008,0.00417087,0.257095,0.0136331,0.109496,15.785,9.09292,0.000381776
"3867",0.256702,0.0827891,13.9683,43.0347,5.00919,0.00306287,0.393738,0.018017,0.0678334,16.5382,8.93806,0.000378192
"3868",0.266074,0.0858648,13.8687,43.469,4.98387,0.0035637,0.392268,0.0211683,0.12428,17.077,8.71549,0.000796748
"3869",0.254656,0.09375,14.1002,44.7554,4.94165,0.00273492,0.399135,0.018726,0.120715,16.5798,8.07885,0.000586893
"3870",0.327488,0.126396,12.2486,39.176,3.96096,0.00416197,0.244282,0.0126251,0.0503331,12.7569,9.40743,4.55644e-05
"3871",0.150362,0.0506765,13.6688,42.6577,4.63787,0.00668491,0.310486,0.017336,0.0433088,14.5546,8.20872,0.000126385
"3872",0.286686,0.112693,12.4181,39.3798,3.95416,0.00797006,0.334704,0.00868554,0.0334292,12.5091,9.33142,0.00023676
"3873",0.170139,0.0568354,13.0446,41.4207,4.27024,0.00649069,0.150136,0.0102502,0.0688862,15.4609,9.19741,0.000599225
"3874",0.231164,0.0904748,13.3715,41.3037,4.39807,0.00379488,0.418053,0.014638,0.121852,15.8259,8.65439,0.000584572
"3875",0.167825,0.0662869,12.6153,41.6478,4.07916,0.0095479,0.186735,0.00790523,0.0299347,9.89248,8.10487,0.000217257
"3876",0.269739,0.108784,12.3102,41.3613,4.01029,0.0024979,0.270489,0.0166247,0.0460491,11.933,9.11453,0.000269124
"3877",0.24285,0.0877904,13.3548,40.4029,4.79222,0.00567134,0.240667,0.0101059,0.0606408,13.1507,8.15463,0.000647613
"3878",0.149999,0.0549199,13.1413,36.8911,4.34726,0.00696411,0.321545,0.0126177,0.0423878,12.2789,8.90068,0.000512362
"3879",0.234887,0.0869899,13.3171,36.2753,4.08332,0.00892366,0.236068,0.00956381,0.0513734,13.8562,9.27392,0.000291181
"3880",0.214519,0.0846317,13.3263,37.3097,4.25985,0.00303033,0.274487,0.0165045,0.0475401,13.2207,8.84696,0.000574438
"3881",0.404602,0.142611,12.6766,38.8592,4.42111,0.00605284,0.229109,0.00742514,0.0648517,15.0871,9.65368,0.000557383
"3882",0.139663,0.0480837,13.1382,39.5622,4.00537,0.00456891,0.180653,0.014235,0.0635699,14.2137,9.88033,0.000611443
"3883",0.163402,0.0473053,12.8416,42.8279,4.57831,0.00891409,0.295514,0.0120139,0.0441828,12.8982,9.92882,0.000574058
"3884",0.17406,0.0518325,13.0872,43.8598,4.59213,0.00756846,0.276504,0.0114034,0.066518,13.5048,9.79418,0.00053527
"3885",0.210915,0.0627355,13.1608,42.7076,4.62529,0.00860854,0.3053,0.0111677,0.0569343,13.4223,9.83728,0.000804528
"3886",0.137154,0.0553724,13.6849,38.0041,4.02768,0.00512296,0.306748,0.0129476,0.0514573,14.201,8.9088,0.00043408
"3887",0.165481,0.0518707,12.2158,43.3076,4.63649,0.00652809,0.209931,0.0119313,0.0739227,12.6672,8.96969,0.00015642
"3888",0.180834,0.0754649,13.1839,39.4873,4.27468,0.00669896,0.33336,0.0128032,0.0287567,9.96572,7.90409,0.000966029
"3889",0.265053,0.103125,12.6498,39.7744,4.36794,0.00651384,0.293873,0.0138221,0.025042,11.8601,7.94762,0.000429286
"3890",0.138132,0.0550714,13.6991,40.6891,3.85375,0.00355156,0.297258,0.0193783,0.0450259,12.5206,9.00681,0.000523312
"3891",0.159129,0.0508925,11.9701,40.3561,4.514,0.00581289,0.118549,0.00780909,0.042923,11.3489,9.33056,0.000692018
"3892",0.138765,0.0561926,12.6665,40.9963,3.64696,0.00901689,0.137136,0.00607588,0.0466873,11.4744,9.11449,0.000649936
"3893",0.164074,0.0513663,13.2829,43.1865,4.76384,0.00570496,0.338097,0.0163247,0.0589882,13.4885,8.9334,0.000493516
"3894",0.289712,0.121659,12.2234,37.4981,4.45083,0.00395053,0.214089,0.0108989,0.0694312,12.7696,7.87844,0.000648039
"3895",0.327858,0.106498,11.9183,39.7803,4.94248,0.00442651,0.257687,0.0105574,0.0795809,16.3882,9.10341,0.00065453
"3896",0.212406,0.0894324,11.6922,40.4621,4.08222,0.00401339,0.211477,0.012855,0.175631,17.2748,7.98871,0.00077748
"3897",0.31324,0.106739,13.3336,38.8352,4.55097,0.0049269,0.323419,0.0106135,0.0470793,13.9462,9.6308,0.000402554
"3898",0.146488,0.055715,12.516,42.9063,3.80957,0.00728564,0.14359,0.00827008,0.0423855,12.9477,8.85375,0.000742687
"3899",0.169193,0.0646151,13.442,43.1446,4.14591,0.00525765,0.196659,0.0098429,0.0278431,10.3956,8.70788,0.000392635
"3900",0.223336,0.0727775,13.015,35.2358,4.8564,0.00544057,0.13426,0.00744322,0.101892,14.2404,9.30388,0.000534111
"3901",0.171516,0.0776511,12.5978,41.9339,3.69891,0.00504908,0.233928,0.0109351,0.0746504,14.029,8.24954,0.000504269
"3902",0.268106,0.0842927,12.5604,37.5999,5.00659,0.00420301,0.196833,0.0108271,0.0855271,13.5128,9.32506,0.000153784
"3903",0.173087,0.0752466,13.3235,43.521,3.73074,0.00377311,0.310576,0.0166387,0.0326164,11.6242,8.52614,0.000619704
"3904",0.107774,0.0554048,13.6956,45.2019,3.41764,0.0046068,0.324095,0.0150233,0.0257316,10.0048,7.80568,0.000535945
"3905",0.187104,0.0593423,12.2788,37.1451,4.61805,0.0121785,0.341959,0.0113221,0.0723151,12.5848,9.37262,0.000526548
"3906",0.151546,0.0698829,13.5957,44.2652,3.87082,0.00311992,0.252552,0.0167205,0.0775752,13.3389,7.79062,0.00073647
"3907",0.15516,0.0681222,13.4473,43.8771,3.90697,0.0032531,0.273443,0.0158945,0.0754741,13.8431,8.2208,0.000799434
"3908",0.153167,0.0568838,13.4124,41.0931,4.20029,0.00550769,0.306839,0.0132572,0.0659013,15.5501,8.76945,0.00031094
"3909",0.182101,0.058375,12.7409,38.1867,4.61024,0.00918207,0.261003,0.0130488,0.0538853,12.9142,9.03537,0.000875579
"3910",0.155394,0.0681137,12.6929,40.2342,4.20291,0.00476667,0.252349,0.0117859,0.0530716,12.7265,7.73845,0.000321216
"3911",0.174429,0.0638244,13.0779,41.0886,4.14112,0.00482315,0.215628,0.00987827,0.0245881,9.71334,9.33073,0.000762395
"3912",0.321524,0.106138,12.7642,41.0089,4.88787,0.00447447,0.257568,0.01539,0.0949462,16.1242,8.59624,0.000304239
"3913",0.207961,0.0761049,13.594,38.5793,4.9891,0.0036475,0.354718,0.014346,0.123693,15.2345,8.5148,0.000535523
"3914",0.22236,0.0922291,12.3396,42.26,3.46501,0.0070657,0.138831,0.00787785,0.0674165,11.5222,9.48797,0.000542959
"3915",0.206433,0.0943222,12.8645,43.4017,3.32815,0.00457225,0.170036,0.00663759,0.0852395,15.3863,9.76292,0.000670411
"3916",0.228992,0.09245,12.6959,42.8421,3.52489,0.0041358,0.142499,0.00911419,0.077399,14.7244,9.76373,0.000702166
"3917",0.294669,0.119173,13.2753,39.8489,4.49674,0.00505607,0.294669,0.0107278,0.0556788,12.6594,8.08766,0.000475827
