"","mean","sd","rhat"
"sol5[19,1]",-0.0738479,0,NA
"sol5[20,1]",-0.075131,0,NA
"sol5[21,1]",-0.075504,0,NA
"sol5[22,1]",-0.0761767,0,NA
"sol5[23,1]",-0.0770215,0,NA
"sol5[24,1]",-0.0776951,0,NA
"sol5[25,1]",-0.0782229,0,NA
"sol5[26,1]",-0.0786281,0,NA
"sol5[27,1]",-0.0789301,0,NA
"sol5[28,1]",-0.0791446,0,NA
"sol5[29,1]",-0.079284,0,NA
"sol5[30,1]",-0.0793597,0,NA
"sol5[31,1]",-0.0793823,0,NA
"sol5[32,1]",-0.0793607,0,NA
"sol5[33,1]",-0.0793012,0,NA
"sol5[34,1]",-0.0792085,0,NA
"sol5[35,1]",-0.0787276,0,NA
"sol5[1,2]",2.98423,0,NA
"sol5[2,2]",2.95745,0,NA
"sol5[3,2]",2.9041,0,NA
"sol5[4,2]",2.86974,0,NA
"sol5[5,2]",2.85989,0,NA
"sol5[6,2]",2.85138,0,NA
"sol5[7,2]",2.85007,0,NA
"sol5[8,2]",2.84028,0,NA
"sol5[9,2]",2.83052,0,NA
"sol5[10,2]",2.82078,0,NA
"sol5[11,2]",2.81108,0,NA
"sol5[12,2]",2.80141,0,NA
"sol5[13,2]",2.79177,0,NA
"sol5[14,2]",2.78216,0,NA
"sol5[15,2]",2.77259,0,NA
"sol5[16,2]",2.76304,0,NA
"sol5[17,2]",2.75353,0,NA
"sol5[18,2]",2.74405,0,NA
"sol5[19,2]",2.7108,0,NA
"sol5[20,2]",2.70147,0,NA
"sol5[21,2]",2.69836,0,NA
"sol5[22,2]",2.69216,0,NA
"sol5[23,2]",2.68289,0,NA
"sol5[24,2]",2.67365,0,NA
"sol5[25,2]",2.66444,0,NA
"sol5[26,2]",2.65526,0,NA
"sol5[27,2]",2.64611,0,NA
"sol5[28,2]",2.637,0,NA
"sol5[29,2]",2.62791,0,NA
"sol5[30,2]",2.61886,0,NA
"sol5[31,2]",2.60984,0,NA
"sol5[32,2]",2.60085,0,NA
