"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T360_360_0","rKIDNEY_353",-3.11865443693645,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_354",1.23381490443089,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_356",-1.11523370225705,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_357",-0.358846220346679,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_358",-0.978319446013426,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_361",-4.68586525641697,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_362",-4.33714173526586,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_364",-2.50528206891206,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_367",-1.73914428154007,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_370",-1.07766121166397,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_373",-1.4602961179408,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_374",0.501931821600404,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_375",-2.30388603306447,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_378",-6.6870030706041,6,6,100
"upload_R1CPTC0T360_360_0","rKIDNEY_381",-0.051465133363662,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_383",-1.8017123858726,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_384",-0.397046137549982,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_385",-1.79719267501591,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_386",-4.0771079817957,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_387",-2.23718472546177,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_389",0.634288207747898,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_390",-1.58391773044509,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_392",-4.47996798938712,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_393",-2.04893372251755,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_397",-2.88389010999588,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_399",1.20186269337105,5,5,100
"upload_R1CPTC0T360_360_0","rKIDNEY_56",-0.40766168633211,24,24,100
